MATRÍCULA ESTABLECIMIENTO,NOMBRE ESTABLECIMIENTO,DIRECCIÓN,MUNICIPIO,TELÉFONO ESTABLECIMIENTO 1,TELÉFONO ESTABLECIMIENTO 2,TELÉFONO ESTABLECIMIENTO 3,EMAIL ESTABLECIMIENTO,CÓDIGO CIIU 1,DESCRIPCION CÓDIGO CIIU 1,CÓDIGO CIIU 2,DESCRIPCION CÓDIGO CIIU 2,CÓDIGO CIIU 3,DESCRIPCION CÓDIGO CIIU 3,CÓDIGO CIIU 4,DESCRIPCION CÓDIGO CIIU 4,MATRICULA MERCANTIL / NRO ESAL DEL PROPIETARIO,NOMBRE / RAZÓN SOCIAL PROPIETARIO,REPRESENTANTE LEGAL
318856-2,HOTEL CASABLANCA LAURELES,CARRERA 72 CIRCULAR 5 37,MEDELLÍN,3124737720.0,,,hotelcasablanca2@gmail.com,5511,Alojamiento en hoteles,5630.0,Expendio de bebidas alcohólicas para el consumo dentro del establecimiento,,,,,403915-1,NIÑO MONTAÑO ANA CAROLINA,
458943-2,FINCAHOTEL ALTAMIRA,VEREDA ALTAMIRA - FINCA ALTAMIRA,JERICÓ,8523177.0,3113276624.0,,flaviogarces1@gmail.com,5514,Alojamiento rural,,,,,,,395179-1,GARCES GARCES FLAVIO DE LA CRUZ,
435903-2,INVERSIONES KAZEROUNI,CARRERA 38 8 59,MEDELLÍN,3137801278.0,,,inversioneskazerouni@gmail.com,4711,"Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas (alcohólicas y no alcohólicas) o tabaco",5511.0,Alojamiento en hoteles,4290.0,Construcción de otras obras de ingeniería civil,,,371586-12,INVERSIONES KAZEROUNI S.A.S.,KAMYAB MEMAR KAZEROUNI
240683-2,HOTEL JUNIMAR ,Calle 53 49 76,MEDELLÍN,2316595.0,,,mm3794@hotmail.com,5511,Alojamiento en hoteles,5630.0,Expendio de bebidas alcohólicas para el consumo dentro del establecimiento,,,,,265559-1,GONZALEZ CONTRERAS ROSA IRENE,
460301-2,ECOPARQUE LA RESERVA-7,"VEREDA EL SILENCIO, HISPANIA ANTIOQUIA, ECO HOTEL LA RESERVA-7",HISPANIA,3113080500.0,2064858.0,3104912232.0,breservaecohotel@gmail.com,5513,Alojamiento en centros vacacionales,150.0,Explotación mixta (agrícola y pecuaria),,,,,396540-1,GIRALDO LUNA MARIA HELENA,
358332-2,PALM TREE HOSTAL ,Carrera 67 No. 48 D 63,MEDELLÍN,4447256.0,3002419209.0,,palmtreehostelmedellin@gmail.com,5519,Otros tipos de alojamiento para visitantes,5590.0,Otros tipos de alojamiento n.c.p.,,,,,614399-12,MANNA HOSPITALITY S.A.S.,KALID HATEM KARFAN
436421-2,AGENCIA DE VIAJES OPERADORA JARDIN Y OTROS,CARRERA 5 NO. 18 - 146,JARDIN,3218362999.0,,,agenciaviajesjardin@hotmail.com,7912,Actividades de operadores turísticos,4921.0,Transporte de pasajeros,8230.0,Organización de convenciones y eventos comerciales,5511.0,Alojamiento en hoteles,752165-1,ZAPATA LOTERO HERNAN ALONSO,
435186-2,RESIDENCIAS DANNA,CR 22 # 29A - 12 BRR LA YE,CAUCASIA,3138402627.0,,,juangsalgado2412@gmail.com,5511,Alojamiento en hoteles,6810.0,Actividades inmobiliarias realizadas con bienes propios o arrendados,7490.0,"Otras actividades profesionales, científicas y técnicas n.c.p.",,,569815-1,HOYOS SALGADO JUAN GABRIEL,
435052-2,LA CORTESANA,CALLE 5 SUR 25 181 AP 502,MEDELLÍN,3104247402.0,2663868.0,,diana9887@hotmail.com;marcevillag@gmail.com,6810,Actividades inmobiliarias realizadas con bienes propios o arrendados,162.0,Actividades de apoyo a la ganadería,5512.0,Alojamiento en apartahoteles,,,370709-4,LA CORTESANA S.A,MARCELA VILLA GARCIA
436583-2,HOTEL METROPOLIS TARAZA,CARRERA 31 29 19,TARAZA,3044852490.0,,,hotelmetropolistaraza@hotmail.com,5630,Expendio de bebidas alcohólicas para el consumo dentro del establecimiento,5511.0,Alojamiento en hoteles,,,,,340920-1,GONZALEZ MURILLO FRANCISCO JAVIER,
435971-2,HOTEL LOS ALMENDROS DE MEDELLIN,CALLE 41 A 70 78,MEDELLÍN,5818077.0,3104690845.0,,hotelgaudimedellin@hotmail.com,5511,Alojamiento en hoteles,,,,,,,292344-1,RESTREPO QUIROZ ELIZABETH,
356694-2,INMOBILIARIOS & SEGUROS,Carrera 73 45 D 29 APT 303,MEDELLÍN,3104061203.0,,,ofem2012@hotmail.com,6810,Actividades inmobiliarias realizadas con bienes propios o arrendados,6621.0,Actividades de agentes y corredores de seguros,7912.0,Actividades de operadores turísticos,5519.0,Otros tipos de alojamiento para visitantes,289054-1,MONTOYA MEJIA OFELIA,
241760-2,HOTEL QUIMBAYA OFICINA DE RESERVAS ,CALLE 10 38 54 OF 503,MEDELLÍN,3116248021.0,,,administrativa@quimbayahotel.com,5511,Alojamiento en hoteles,,,,,,,31043-12,INVERSIONES QUIMBAYA S.A.S.,LILIANA AGUIRRE OCAMPO
435792-2,ESTADERO WAIRA,KM 5 CARRETERA SAN FELIX,BELLO,3881280.0,3206073611.0,,mmargara89@gmail.com,5514,Alojamiento rural,5611.0,Expendio a la mesa de comidas preparadas,5630.0,Expendio de bebidas alcohólicas para el consumo dentro del establecimiento,5520.0,Actividades de zonas de camping y parques para vehículos recreacionales,694127-12,GRUPO LAS CAÑITAS S.A.S,MARGARITA MARIA PEREZ JARAMILLO
435886-2,FINCA RECREATIVA VILLA EDILMA,VEREDA EL CORTADO FINCA VILLA EDILMA,BARBOSA,4070979.0,3022979617.0,,baysideproduce@yahoo.com,5514,Alojamiento rural,,,,,,,371567-1,BARRIENTOS LONDOÑO MANUEL ALBERTO,
245319-2,PAPELERIA ARQUITEMPO ,CARRERA 73 42 29 LAURELES,MEDELLÍN,5913757.0,3005977017.0,,josefh7@gmail.com,4761,"Comercio al por menor de libros, periódicos, materiales y artículos de papelería y escritorio, en establecimientos especializados",5519.0,Otros tipos de alojamiento para visitantes,,,,,179429-1,HOYOS CORREA JOSE FERNANDO,
357938-2,T.E.S.,CARRERA 50 50 48 OF. 200,MEDELLÍN,5400343.0,3207274028.0,,asesoriascontablesmv@hotmail.com;coordinaciontes@gmail.com,5513,Alojamiento en centros vacacionales,722.0,Extracción de oro y otros metales preciosos,,,,,290407-4,T.E.S. S.A.,JOSE ARCESIO GOMEZ ARISTIZABAL
245725-2,HOTEL BELFORT,CALLE 17 NO. 40 B 300,MEDELLÍN,6044445252.0,6044042360.0,,danihern@bancolombia.com.co,5511,Alojamiento en hoteles,,,,,,,,FIDUCIARIA BANCOLOMBIA S.A. ACTUANDO COMO VOCERA DEL FIDEICOMISO HOTEL BELFORT M,
245970-2,BANQUETES BAMBUCO ,CARRERA 51 ESTE #5 -171 CS 382,MEDELLÍN,3104414720.0,,,banquetesbambuco94@hotmail.com,5621,Catering para eventos,8230.0,Organización de convenciones y eventos comerciales,5519.0,Otros tipos de alojamiento para visitantes,4711.0,"Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas (alcohólicas y no alcohólicas) o tabaco",189351-1,RAMIREZ ARANGO DIDIER ANTONIO,
370767-2,CORPORACION ANTIOQUIA TROPICAL CLUB,AUTOPISTA NORTE KM 21 DOBLE CALZADA BELLO HATILLO,BARBOSA,4443447.0,,,marinacor75@hotmail.com;gerencia@antioquiatropicalclub.com,1084,Elaboración de comidas y platos preparados,5514.0,Alojamiento rural,,,,,1267-21,CORPORACION ANTIOQUIA TROPICAL CLUB,LUIS JAVIER FRANCO AGUDELO
345209-2,HOTEL PRINCE PLAZA,CALLE 44 68 A - 10,MEDELLÍN,2606198.0,,,drpgestion@gmail.com;juanjoseninom@hotmail.com,5511,Alojamiento en hoteles,4711.0,"Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas (alcohólicas y no alcohólicas) o tabaco",,,,,607608-12,INVERSIONES IVANNA JUMAR S.A.S.,JUAN JOSE NIÑO MONTAÑO
439984-2,HOTEL NORDESTE,CALLE 13 15 58,BARBOSA,4060306.0,,,contabilidad.calichal@gmail.com,5511,Alojamiento en hoteles,,,,,,,375850-1,MADRIGAL MONTOYA REINALDO DE JESUS,
246512-2,HOTEL PLAZA CARACAS ,Calle 54 45 17,MEDELLÍN,3148756972.0,5120836.0,,migutierrezb@hotmail.com,5511,Alojamiento en hoteles,5630.0,Expendio de bebidas alcohólicas para el consumo dentro del establecimiento,,,,,,ARISTIZABAL GIRALDO LINA MARIA,
353110-2,ASESORIAS Y DISEÑOS ,CALLE 42 70 32,MEDELLÍN,5807660.0,3103891238.0,,rortiz@une.net.co,7410,Actividades especializadas de diseño,1410.0,"Confección de prendas de vestir, excepto prendas de piel",5519.0,Otros tipos de alojamiento para visitantes,,,285110-1,ORTIZ MARIN ROSANA,
359963-2,ESCUELA DE TRIUNFADORES,CARRERA 29 16 201 EDIFICIO SAN MARCOS APTO 804,MEDELLÍN,3164420204.0,3155038354.0,,escuelatriunfadores@gmail.com,5514,Alojamiento rural,8692.0,Actividades de apoyo terapéutico,8299.0,Otras actividades de servicio de apoyo a las empresas n.c.p.,,,428235-12,ESCUELA DE TRIUNFADORES1 S.A.S.,WILLIAM ANTONIO GUERRA GUTIERREZ
360947-2,ARAMAN S.A.S,CALLE 29 52 26,MEDELLÍN,3213090059.0,,,juridica@araman.com.co,6810,Actividades inmobiliarias realizadas con bienes propios o arrendados,4731.0,Comercio al por menor de combustible para automotores,5519.0,Otros tipos de alojamiento para visitantes,,,293759-12,ARAMAN S.A.S.,JUAN CAMILO ARANGO VALENCIA
438312-2,HOTEL PARQUE 70,CALLE 46 B 69 A 11,MEDELLÍN,2603339.0,3104363298.0,,jogan@une.net.co,5511,Alojamiento en hoteles,5630.0,Expendio de bebidas alcohólicas para el consumo dentro del establecimiento,,,,,374098-1,ASCANIO MARTINEZ JORGE ELIECER,
437768-2,HOTEL LOS YARUMOS,CALLE 21 20 40,YARUMAL,3147007778.0,,,ceci.r30@hotmail.com,5511,Alojamiento en hoteles,,,,,,,373545-1,RIVERA ICELA CECILIA,
436948-2,HOTEL POBLADO ALEJANDRIA,CARRERA 36 2 SUR 60,MEDELLÍN,3182000.0,,,gerenciafinanciera@hotelpobladoplaza.com;olga.unates@hotelpobladoplaza.com,5511,Alojamiento en hoteles,5611.0,Expendio a la mesa de comidas preparadas,,,,,526280-12,HOTEL POBLADO ALEJANDRÍA S.A.S.,DIEGO PINEDA COURTNEY
438735-2,CORPORACION CLUB CAMPESTRE MEDELLIN,CALLE 16A SUR 34-950,MEDELLÍN,3259000.0,,,gerente.financiera@clubcampestre.com.co,9312,Actividades de clubes deportivos,9329.0,Otras actividades recreativas y de esparcimiento n.c.p.,5511.0,Alojamiento en hoteles,,,695-21,CORPORACION CLUB CAMPESTRE.,JUAN FELIPE ESTRADA MEJIA
438777-2,HOTEL LATINO MEDELLÍN,CARRERA 47 49 A 22,MEDELLÍN,3148756972.0,5116188.0,,dellygomez20@hotmail.com,5511,Alojamiento en hoteles,5630.0,Expendio de bebidas alcohólicas para el consumo dentro del establecimiento,,,,,674952-1,GOMEZ MONTOYA DELLY MARIA,
353267-2,HOSTAL GERONIMO PLAZA,CALLE 21 9 53,SAN JERÓNIMO,8583712.0,316212197.0,3122576048.0,blancapaniagua965@gmail.com,5519,Otros tipos de alojamiento para visitantes,,,,,,,351557-1,PANIAGUA GALLEGO BLANCA GRIMANEZA,
366121-2,HOTEL LAS ARAUCARIAS URRAO,VEREDA LA SAN JOSE - FINCA LAS ARAUCARIAS,URRAO,8504328.0,3113894758.0,,fincahotel.lasaraucarias@hotmail.com,5511,Alojamiento en hoteles,,,,,,,299254-1,MORENO URREGO ALBEIRO,
356440-2,HOTEL BRISAS DEL PARQUE,Calle 55 50 75,MEDELLÍN,3013023011.0,,,carmentunene1962@gmail.com,5511,Alojamiento en hoteles,5630.0,Expendio de bebidas alcohólicas para el consumo dentro del establecimiento,4711.0,"Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas (alcohólicas y no alcohólicas) o tabaco",,,602394-1,HERNANDEZ RESTREPO ALBEIRO ANTONIO,
435996-2,HOTEL CACIQUE TONE URRAO,CARRERA 31 30 27,URRAO,6048504430.0,3147404208.0,3147404206.0,hotelcaciquetone@gmail.com,5511,Alojamiento en hoteles,4724.0,"Comercio al por menor de bebidas y productos del tabaco, en establecimientos especializados",,,,,371693-1,RODRIGUEZ GARRO NELSON,
353265-2,ALOJAMIENTO SAN JUDAS,CALLE 13 CON CARRERA 9 # 9 - 51,SANTAFE DE ANTIOQUIA,3004685916.0,,,hotelsanjudas@hotmail.com,5511,Alojamiento en hoteles,,,,,,,285279-1,HERNANDEZ RUEDA HECTOR AUGUSTO,
232435-2,HOTEL LA BELLA VILLA,CALLE 53 50 28,MEDELLÍN,3137939119.0,,,hzandalo1@hotmail.com;grupohotelerola70estadio@gmail.com,5511,Alojamiento en hoteles,4711.0,"Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas (alcohólicas y no alcohólicas) o tabaco",5630.0,Expendio de bebidas alcohólicas para el consumo dentro del establecimiento,,,637089-12,GRUPO HOTELERO LA 70 ESTADIO S.A.S,MAURICIO SABBAGH VELASCO
355900-2,INTERCAMBIO DE IDIOMAS ,CARRERA 43 A 6 SUR 26 C.C. RIO SUR,MEDELLÍN,4440013.0,3154595959.0,,gerencia@intercambioonline.com,8560,Actividades de apoyo a la educación,7912.0,Actividades de operadores turísticos,7990.0,Otros servicios de reserva y actividades relacionadas,5590.0,Otros tipos de alojamiento n.c.p.,,RESTREPO OSORIO JORGE ALBERTO,
352919-2,SASTRERIA PERFECT FIT,Carrera 39 47 43,MEDELLÍN,3192484176.0,,,nezvi5516@gmail.com,1410,"Confección de prendas de vestir, excepto prendas de piel",5519.0,Otros tipos de alojamiento para visitantes,,,,,284942-1,ZULUAGA VILLEGAS NORA ELENA,
439694-2,HOTEL BALCON DEL PARAISO JM,CARRERA 20 19 45,YARUMAL,3112178644.0,8537111.0,8537200.0,hualco1969@hotmail.com,5511,Alojamiento en hoteles,,,,,,,505303-1,CORREA SANCHEZ HUGO ALBERTO,
438046-2,CABAÑAS Y PISCINA PUNTE IGLESIAS,VEREDA PUENTE IGLESIAS,JERICÓ,3103851150.0,,,carlosmontoya0703@gmail.com,5511,Alojamiento en hoteles,9329.0,Otras actividades recreativas y de esparcimiento n.c.p.,4729.0,"Comercio al por menor de otros productos alimenticios n.c.p., en establecimientos especializados",5630.0,Expendio de bebidas alcohólicas para el consumo dentro del establecimiento,508966-1,MONTOYA VALDES CARLOS EDUARDO,
355595-2,HOTEL SWITE 57,CALLE 57 A 46 10,MEDELLÍN,2313578.0,,,denissanchez09@hotmail.com,5511,Alojamiento en hoteles,,,,,,,,SANCHEZ MOGOLLON DENNIS EDGARDO,
356228-2,HOTEL CALLE REAL MEDELLIN,CALLE 51 51 47,MEDELLÍN,3003853275.0,4193385.0,,ankarainversiones@hotmail.com,5511,Alojamiento en hoteles,,,,,,,441480-12,ANKARA INVERSIONES S.A.S.,MARTHA OLIVA DEL SOCORRO JARAMILLO HENAO
437090-2,HOTEL GAUDI,CARRERA 70 C 5 38,MEDELLÍN,5818077.0,3104690845.0,,hotelgaudimedellin@hotmail.com,5511,Alojamiento en hoteles,,,,,,,292344-1,RESTREPO QUIROZ ELIZABETH,
440572-2,SARA Y B HOTEL,CARRERA 21 22 27,TITIRIBI,6048483542.0,3113883702.0,3105490499.0,saraybhotel@hotmail.com,5511,Alojamiento en hoteles,,,,,,,376499-1,SANCHEZ RODRIGUEZ BEATRIZ CECILIA,
233191-2,HOTEL DKCH ,CALLE 47 45 40,MEDELLÍN,2516142.0,3104394999.0,,diross.1970@hotmail.com,5511,Alojamiento en hoteles,4711.0,"Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas (alcohólicas y no alcohólicas) o tabaco",5630.0,Expendio de bebidas alcohólicas para el consumo dentro del establecimiento,,,520946-1,ISAZA VELEZ PAOLA ANDREA,
235959-2,HOTEL CENTENARIO ,CR SANTANDER # 50 - 04,SANTA BARBARA,3117472140.0,3147757323.0,,cafeteria_elcentenario@hotmail.com,5511,Alojamiento en hoteles,1084.0,Elaboración de comidas y platos preparados,,,,,465776-1,CUERVO PELAEZ OCTAVIO DE JESUS,
437450-2,LA CASA MEDELLIN,Carrera 36 No. 9 SUR 74,MEDELLÍN,3117490956.0,3233660009.0,,lacasamedellin1@gmail.com,5511,Alojamiento en hoteles,,,,,,,,COLTIERRA SAS,
438386-2,HOSPEDAJE GERMATIO,CARRERA 49 49 48,MEDELLÍN,5138791.0,,,pensiongermatio@hotmail.com,5519,Otros tipos de alojamiento para visitantes,,,,,,,374176-1,GRANDA ORREGO AMPARO,
369230-2,HOSTERIA BOHIOS ,EL PASO KM 2 SANTAFE DE ANTIOQUIA,SANTAFE DE ANTIOQUIA,8534628.0,3013116442.0,3146812296.0,fredycrush@htomail.com;hosteriabohiosbar@hotmail.com,5513,Alojamiento en centros vacacionales,,,,,,,302490-1,SANTA DUQUE LEIDY TATIANA,
443166-2,SOMERTUR,CARRERA 51 51 47 INT 3221,MEDELLÍN,3147353856.0,3128674035.0,,andresvalenciainvestments@gmail.com;somertur@hotmail.com,7911,Actividades de las agencias de viaje,7912.0,Actividades de operadores turísticos,5511.0,Alojamiento en hoteles,5514.0,Alojamiento rural,649168-12,ANDRES VALENCIA INVESTMENT S.A.S,JUAN ANDRES VALENCIA PIEDRAHITA
362840-2,"HOTEL ALDEA DORADA
",CALLE 28 22 A 101 TRONCAL PPAL,DON MATIAS,8665691.0,3113095281.0,,zmonica6@yahoo.es,5611,Expendio a la mesa de comidas preparadas,5511.0,Alojamiento en hoteles,,,,,295751-1,ZAPATA MORA MARIA MONICA,
361954-2,HOSPEDAJE AQUEL ALMENDRO ,CALLE 13 6 A LA VARIANTE,SANTAFE DE ANTIOQUIA,8531954.0,3104870805.0,,hospedajeaquelalmendrosantafe@hotmail.com,5512,Alojamiento en apartahoteles,,,,,,,596222-12,HOSPEDAJE AQUEL ALMENDRO S.A.S.,JORGE ELIECER OQUENDO URREGO
361973-2,HOTEL PARADAINS,CARRERA 20 21 50,YARUMAL,8874494.0,3114241771.0,,ceci.r30@hotmail.com,5511,Alojamiento en hoteles,,,,,,,373805-1,ZABALA RIVERA MARLENE DEL SOCORRO,
361515-2,HOTEL CRISTO REY PLAZA,CRA 9 10-10,TAMESIS,3223581032.0,,,hotelcristoreyplaza@gmail.com;dondesandra.com@gmail.com,5511,Alojamiento en hoteles,,,,,,,294373-1,PATIÑO PATIÑO HECTOR,
444299-2,HOTEL RESTAURANTE NOMAR,CARRERA 31 29 83,SANTA ROSA DE OSOS,8608221.0,3113352954.0,8605022.0,bimaritaj@hotmail.com;hotelnomar123@hotmail.com,5511,Alojamiento en hoteles,,,,,,,380341-1,AGUDELO PRECIADO DIANA MARCELA,
439467-2,FINCA NUTABES,VIA A SAN PEDRO DE LOS MILAGROS,SAN PEDRO DE LOS MILAGROS,8689754.0,3127101323.0,,fincahotelnutabes7@gmail.com;fincanutabes4@gmail.com,5514,Alojamiento rural,141.0,Cría de ganado bovino y bufalino,,,,,375312-1,CANO PABON FRANCISCO EUGENIO,
364373-2,HOTEL SUEÑO DORADO URRAO,CARRERA 31 27 68,URRAO,8502628.0,3113769290.0,,paulavilla792010@hotmail.com,5511,Alojamiento en hoteles,,,,,,,297472-1,VILLA GUILLERMO ANTONIO,
442989-2,RED LOGISTICA Y GESTION S.A.S,CALLE 12 43 F 28 OFICINA 201,MEDELLÍN,3104495980.0,3113119191.0,,gerencia@red-logistica.com.co,8230,Organización de convenciones y eventos comerciales,5621.0,Catering para eventos,7911.0,Actividades de las agencias de viaje,5511.0,Alojamiento en hoteles,389516-12,RED LOGISTICA Y GESTION S.A.S,LIDA JIMENEZ CARVAJAL
441941-2,FONDA HOTEL RESTAURANTE LA GRAN ESQUINA,CARRERA 6 6 66,JERICÓ,8523053.0,,,lagranesquinajerico@hotmail.com,5511,Alojamiento en hoteles,5630.0,Expendio de bebidas alcohólicas para el consumo dentro del establecimiento,4724.0,"Comercio al por menor de bebidas y productos del tabaco, en establecimientos especializados",5611.0,Expendio a la mesa de comidas preparadas,377909-1,CORREA CELIS HUMBERTO DE JESUS,
442626-2,APARTA HOTEL MONTES,CARRERA 68 49 A 04,MEDELLÍN,6044489262.0,6044037350.0,3167449248.0,apartahotelmontes@hotmail.com;valemonsua@hotmail.com,5512,Alojamiento en apartahoteles,,,,,,,307745-1,MONTES SUAREZ VALERIO DE JESUS,
441229-2,HOTEL PARQUE LOS LIBERTADORES ,Carrera 30 13 87,CAÑASGORDAS,8564086.0,3218304892.0,,helena8956@gmail.com,5511,Alojamiento en hoteles,,,,,,,377185-1,OLIVEROS ZAPATA MARIA ELVIA,
364171-2,MISCELANEA EL BUEN ANDRES ,CR 2 15-155,VIGIA DEL FUERTE,8678061.0,3128844376.0,,j.acevedo125@hotmail.com,4631,Comercio al por mayor de productos alimenticios,4663.0,"Comercio al por mayor de materiales de construcción, artículos de ferretería, pinturas, productos de vidrio, equipo y materiales de fontanería y calefacción",5511.0,Alojamiento en hoteles,4642.0,Comercio al por mayor de prendas de vestir,640621-12,COMERCIALIZADORA EL BUEN ANDRES S.A.S.,DARBIN LEMOS RUEDA
4101-2,HOTEL JIRETH,CARRERA 53 51 56,MEDELLÍN,5126127.0,3533105.0,,beatriz_elena123@hotmail.com,5511,Alojamiento en hoteles,,,,,,,,"FONDO DE REHABILITACION, INVERSION SOCIAL Y LA LUCHA CONTRA EL CRIMEN ORGANIZADO",
364345-2,HOTEL COLONIAL VERONICA GARRO ,CARRERA 29 N 31 37,URRAO,8502603.0,3113903055.0,,confegeo@hotmail.com,5511,Alojamiento en hoteles,,,,,,,78239-1,GARRO GEORGINA COSSIO DE,
378987-2,HOTEL DON MATIAS,Troncal La Y,DON MATIAS,8666260.0,3117421843.0,,hoteldonmatias@hotmail.com,5511,Alojamiento en hoteles,,,,,,,485782-1,VERGARA DE DEL RIO LUZ MYRIAM,
4524-2,AVIATUR MEDELLIN,CARRERA 49 55 25,MEDELLÍN,5765000.0,,,elizabethmorales@aviatur.com,7911,Actividades de las agencias de viaje,7912.0,Actividades de operadores turísticos,5511.0,Alojamiento en hoteles,8230.0,Organización de convenciones y eventos comerciales,,AGENCIA DE VIAJES Y TURISMO AVIATUR S.A.S,
377343-2,HOTEL HACIENDA LA BONITA ,CAMILO C. KM 5 VIA FREDONIA,AMAGA,4441992.0,3013337202.0,3188012114.0,contabilidad@hotelhaciendalabonita.net;gerencia@hotelhaciendalabonita.net,5511,Alojamiento en hoteles,5512.0,Alojamiento en apartahoteles,7730.0,"Alquiler y arrendamiento de otros tipos de maquinaria, equipo y bienes tangibles n.c.p.",,,311280-12,SOCIEDAD HOTELERA LA BONITA S.A.S.,BERNARDA CECILIA YEPES DE ARANGO
439177-2,LOS ALPES CAFE DE ALTURA,FINCA LOS ALPES VEREDA EL VERGEL,SANTA BARBARA,3105789610.0,,,cafelosalpes@hotmail.com,1062,"Descafeinado, tostión y molienda del café",7912.0,Actividades de operadores turísticos,5514.0,Alojamiento rural,,,375007-1,VELEZ PINZON CARLOS EMILIO,
364998-2,HOTEL BRISAS DEL CAUCA,AV 30 EL CRUCERO 28 - 275,LA PINTADA,8454466.0,3007208473.0,,danytino07@hotmail.com,5511,Alojamiento en hoteles,,,,,,,507581-1,GARCIA VELASQUEZ DANIEL,
